organization,current_role,data_challenge,data_skills_assessing_and_improving_the_quality_of_data,data_skills_communicating_data_insights_effectively,data_skills_creating_and_using_data_visualisations,data_skills_data_policy_and_legislation,data_skills_data_privacy_and_security,data_skills_finding_data_to_help_my_work,data_skills_including_data_considerations_in_contracts_and_agreements,data_skills_publishing_real_time_data,data_skills_releasing_open_data,data_skills_requesting_data_held_by_another_agency,data_skills_research_methodologies,data_skills_sharing_data_outside_my_organization,data_skills_simple_advice_on_what_data_is_and_how_it_applies_to_my_work,data_skills_understanding_data_governance_rules,data_skills_using_data_to_improve_decisions_and_service_delivery,data_skills_understanding_of_corporate_data_management_processes,data_skills_other_please_specify,data_related_learning_artificial_intelligence,data_related_learning_big_data,data_related_learning_computer_programming_or_coding,data_related_learning_data_sharing,data_related_learning_data_ethics_and_security,data_related_learning_machine_learning,data_related_learning_predictive_analytics,data_related_learning_statistics,data_related_learning_other_please_specify,learning_needs_self_paced_e_learning,learning_needs_video_tutorials,learning_needs_webinars,learning_needs_one_day_workshop,learning_needs_weeklong_workshop,learning_needs_online_tools_and_resources,learning_needs_a_classroom_environment_training_course,learning_needs_a_collaborative_online_community,learning_needs_mentoring,learning_needs_university_courses_and_degrees,learning_needs_all_of_the_above
Environment and Climate Change Strategy,Data professionals,"Convincing software developers and internal staff who create data, of the value of describing data well and planning ahead for data quality.",selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,selected,selected,selected,NA,not selected,not selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Children and Family Development,Data professionals,"Data changes too quickly, without ability to document",selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,availability and support for software,selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,NA,selected,not selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Executive users,concern about validity of data given complex data set,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Social Development and Poverty Reduction,Data professionals,"Access to data / Sharing data - we're all BC Gov employees that took an oath, as well as annually complete information security and privacy training, yet we can't access or share data within our organization due to ""Privacy and Security"" policies.",not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,selected,not selected,NA,not selected,not selected,selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected
Public Safety and Solicitor General,Business users,Our challenges surround using the data to its fullest capacity.  We have a mature BI environment and will continue to build more subject areas and expand from Cognos to MSPower BI.,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,NA,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
"Advanced Education, Skills and Training",Business users,"Obtaining sufficient and reliable dis-aggregated data required to apply GBA+
",selected,selected,selected,selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Jobs, Trade and Technology",Executive users,accessing the granular level (community/regional level) needed in order to support our stakeholders and to ensure access to the most up-to-date data.,not selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,"I don't use data much in my role, unfortunately.",not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,NA,selected,selected,not selected,selected,selected,selected,selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected
"Advanced Education, Skills and Training",Business users,"Lack of access to data: Many of the questions that we are trying to answer in order to inform policy (e.g. how would shifts to StudentAid BC policy impact the overall loan portfolio? How many people receive permanent disability funding due to a learning disability? How many tuition waiver recipients are enrolled in part-time studies?) do not have readily available data sets to support our policy decisions.  We need to be able to access datasets from multiple sources in most cases, and those can be challenging to collect (they are often held by third parties such as universities)  and quite often they are difficult to link (see next point).

Poor data linkages across existing datasets: most of our data collection has been setup without adequate consideration for other data streams in the same sector, ministry and across government.  As such our data sources do not have consistently applied definitions, and in some cases do not have any shared fields that would allow linkages.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,information architecture and the design of data collection systems.,not selected,not selected,selected,selected,not selected,selected,selected,selected,selected,selected,not selected
Attorney General,Business users,finding single source of truth data,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,not selected,not selected,selected,selected,selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Keeping the data up to date and current with all the changes occurring,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Data professionals,Data access; data matching across sysetms,not selected,not selected,not selected,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,selected,not selected
Public Safety and Solicitor General,Data professionals,Data completeness,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Data analysis by means of Excel.,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Data professionals,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Citizens' Services,Data professionals,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Having an effective way to access, edit and share regionally significant datasets that are not meant or ready for publication into the BCGW.",selected,selected,not selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,selected,not selected
Citizens' Services,Business users,getting financial information about my office - being able to personal a report with the information I want and formatted in a way that works for me.,selected,not selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
"Jobs, Trade and Technology",Business users,Lack of data/ do not know where to access Indigenous data,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,Indigenous economic data,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,not selected
Citizens' Services,Data professionals,"The need to introduce awareness of and information governance for managing data throughout its life cycle to ensure it is retained as long as needed in a usable, reliable form, and destroyed or transferred to the digital archives when no longer needed to serve the functions for which it was created.  In other words, I'm talking about ensuring that appropriate records management controls required by the Information Management Act are instituted, with guidance from my branch, Government Records Service.",selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,NA,selected,selected,not selected,selected,selected,not selected,not selected,selected,"Management and preservation of data over time, and how to ensure it is deleted/transferred in accordance with schedules",selected,selected,selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected
Citizens' Services,Data professionals,No idea.,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected
Public Safety and Solicitor General,Business users,"Huge amounts of data, but lack of meta-data to support it's use. There is limited capacity to confirm data integrity, and to use the data we have to it's full potential.",selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,"Consolidating data from broader public sector entities that form our ""buyers' club"" of service procurement.",selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
Public Safety and Solicitor General,Business users,Knowing where to access relevant data and using it to better support what is being proposed or advanced.,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,selected,not selected,NA,not selected,selected,selected,selected,selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Municipal Affairs and Housing,Business users,Lack of knowledge about tools to assess data,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,Statistics training,selected,selected,not selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected
Citizens' Services,Business users,Previous Role: Worked directly in a data environment and struggled with understanding data terminology/technology and getting support in being trained in those areas.,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,selected,selected,not selected,not selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected
Citizens' Services,Business users,"Knowing how and where to collect pertinent and CLEAN data. Knowing how to ""slice and dice"" it properly. Knowing how to display it well for outcomes.",selected,selected,selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,selected,selected,selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected
Health,Data professionals,Data quality,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,not selected,not selected,selected,NA,not selected,not selected,selected,selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
BC Public Service Agency,Business users,Different systems and data sources that do not align or reconcile.,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected
Public Safety and Solicitor General,Data professionals,Collecting data from outside agencies.,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Executive users,"There is, seemingly, an array of somewhat disconnected sources of ""shared truth"" forcing my Branch to rely on its internal BI systems and then roll outwards in an attempt to align / reconcile with other corporate BI systems, often requiring intersect with multiple agencies who ""hold the keys"" tyo thos e respective systems.",not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Finding up-to-date data,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Social Development and Poverty Reduction,Business users,NA,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,not selected,selected,selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected
Children and Family Development,Business users,Access to appropriate data using fields not shown on the corporate data main page.,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,selected
BC Public Service Agency,Business users,Completing regulatory hurdles - PIAs.,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,I don't even know who has the data and where to look for it.,selected,selected,not selected,selected,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected
Citizens' Services,Business users,Providing financial information,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Citizens' Services,Business users,Ensuring that data is complete and that I have the full picture.,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Municipal Affairs and Housing,Business users,Presenting data without product licenses. All we have is the Windows 365 package.,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,NA,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Children and Family Development,Business users,Data collection and administration,selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,Data administration,selected,selected,not selected,selected,not selected,selected,not selected,selected,selected,selected,not selected
"Advanced Education, Skills and Training",Business users,Disggregated data for use in intersectional analysis for GBA+ purposes. Where to access meaningful data and how to interpret and use effectively.,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,selected,selected,selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
BC Public Service Agency,Business users,"Data integrity. Usable data. Example - HR data comes from PeopleSoft. Data is entered for payroll purposes and may not reflect actual reporting relationships, etc. that would be useful for Talent Management purposes. Data is stored across many systems and is entered to meet the needs of that system. Reports may require interpretation.",selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,Data visualization,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected
Children and Family Development,Business users,"Not having the right tools (e.g., qualitative data analysis software like NVIVO)",selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,not selected,selected,selected,selected,not selected,NA,not selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Citizens' Services,Data professionals,lack of initiative/motivation/priortiry/time on other people's part to increase their data skills and knowledge.,not selected,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,"Data Visualization, tools to improve data quality",selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,"Data ownership (i.e., key data related to our business owned by the agency delegated program administration on our behalf.)",not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected
Education,Business users,Determining the best data to collect and how to interpret it in a meaningful way.,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,Simple ways to collect and analyze data,not selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,"I receive huge amounts of data with no analysis and have to make sense of it. I'm trying to train myself to use Power BI, but so far unsuccessfully.",not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Social Development and Poverty Reduction,Business users,Access to statistical data.,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Long term data management and appropriate data organization and archiving especially for large datasets and for converting historical paper-based data to digital formats,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,Data management best practices,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Indigenous Relations and Reconciliation,Business users,"We are working to get staff off of their local solutions (Outlook lists, sharepoints, one notes, excel spreadsheets, etc.) and use our new corporate application, and I feel that more education on the importance of data management at a corporate level will help our cause. Communicating the importance of data security, data management, OCIO IM/IT standards, etc. is a big part of what I do, but staff are often resistant as it is easier (or more comfortable) for folks to use a small local solution, but I feel they are not aware of the gov wide implications of not being able to share that information and creating data redundancy.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
BC Public Service Agency,Business users,"Data privacy- Under our team's PIA we are supposed to work with only deidentified data  from other Ministries. Unfortunately this is often not possible, very difficult, or data is sent to us without being deidentified, despite efforts to ensure proper sharing.",selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Energy, Mines and Petroleum Resources",Business users,"Inefficient and ineffective data services support present these challenges:  lengthy process to promote application fixes, limited authority to access database servers, contractors have limited access to servers, underpowered servers.",selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Finance,Business users,Disaggregated data sources and qualitative data,not selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,not selected,selected,selected,selected,selected,selected,not selected,selected,selected,not selected
Attorney General,Business users,"Inconsistency. We have approximately 50 registries, and it seems like each registry has their own data entry standards. Our current database is very old, so while it does provide constraints for some data fields (for example, transaction date), there are still plenty of fields where users can enter the data in any way that they see fit.",selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,selected,NA,not selected,selected,selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,not selected,selected,not selected
Transportation and Infrastructure,Business users,Manual preparation of data,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,not selected,selected,not selected,selected,not selected,selected,selected,NA,selected,selected,selected,not selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Energy, Mines and Petroleum Resources",Business users,"My role and main business is collecting data from industry and releasing it to the public. Industry and government use this data for land use decision making and driving economic investment in BC. My main data system (data capture, storage, delivery mechanism) is antiquated (to put it lightly) and we have been struggling within the current IT and contractor framework to get it updated into a modern and efficient system. The key data related challenge I face is being able to efficiently capture, manage, and deliver important data by relying on under-resourced government IT branches and associated contractors. We have little in-house control over our own data and simple fixes take weeks or months to correct, which literally take minutes to tweak. In my opinion this is a highly inefficient use of resources. Dedicated IT support within the business area (at division or branch level) would increase efficiency for the management and delivery of data.",not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,Taking courses in database management and computer programming relating to databases,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Health,Business users,The data we need is not being gathered currently,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Social Development and Poverty Reduction,Business users,"not able to capture sufficient data from ministry portal (myss).  I can run reports in CDW which identify how many persons are registered, but cannot determine how frequently the account is used, what it is used for or when the account was last accesse or obtain family demographics on age, location etc for marketing strategies or system enhancement planning.
",selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Government Communications and Public Engagement,Data professionals,The availability of specific technical training and available tools.,selected,selected,not selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,selected,selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,selected,not selected
Citizens' Services,Business users,"Access. Lots of issues/questions where data would be very helpful in making decisions, but I am unable to access or gather the required data.",selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,NA,not selected,selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Health,Business users,"Access is restricted and has to be requested from the Health Sector Information and Analysis Division, all other program areas do not have direct access to data, even aggregate data that we are responsible for monitoring such as wait times for health services. 
Data stewardship is also a huge problem. While one division is responsible we have issues with historic data reported on and what GCPE releases publicly that run counter to current data that has been validated. We need to be providing more open data and our ministry has almost no open data of value to the public.",selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,lack of sharing data between ministries,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,NA,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected
Finance,Executive users,"Ability to gain access to meaningful, consistent data that is displayed (think Dashboards) in a meaningful way - without having to engage a contractor to build it for a million $$.",not selected,selected,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,Data accuracy (common source of truth),not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,Data methodologies & best practices,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Attorney General,Business users,A suitcase term -> Data management.,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,selected,selected,selected,selected,not selected,NA,selected,not selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected
"Jobs, Trade and Technology",Business users,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Finance,Data professionals,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,Data....what are you talking about?,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
